rMult	iter	fCalc	r	x	fx
2	5	496	3.200000e+02	$(1.000000e+00, 2.000000e+00)^T$	4.000000e+00
3	5	503	2.430000e+03	$(1.000000e+00, 2.000000e+00)^T$	4.000000e+00
4	8	685	6.553600e+05	$(1.000000e+00, 2.000000e+00)^T$	4.000000e+00
5	47	3234	7.105427e+33	$(9.999861e-01, 1.999986e+00)^T$	4.000000e+00
6	35	2416	1.719071e+28	$(9.999521e-01, 1.999952e+00)^T$	4.000000e+00
7	37	2550	1.856212e+32	$(9.999502e-01, 1.999950e+00)^T$	4.000000e+00
8	8	685	1.677722e+08	$(1.000000e+00, 2.000000e+00)^T$	4.000000e+00
9	26	1875	6.461082e+25	$(9.999958e-01, 1.999996e+00)^T$	4.000000e+00
10	22	1587	1.000000e+23	$(9.999732e-01, 1.999973e+00)^T$	4.000000e+00
