rMult	iter	fCalc	r	x	fx
2	58	6419	3.469447e-17	$(-2.596589e-01, -7.403411e-01)^T$	5.684443e+00
3	18	2356	2.581175e-08	$(-6.540634e-01, -6.540635e-01)^T$	8.207778e+00
4	43	5321	1.292470e-25	$(-2.403403e-01, -7.596596e-01)^T$	5.694102e+00
5	36	4271	6.871948e-25	$(-1.627271e-01, -8.372728e-01)^T$	5.875851e+00
6	30	3561	4.523374e-23	$(-1.415051e-01, -8.584949e-01)^T$	5.965399e+00
7	27	3196	1.521784e-22	$(-1.290716e-01, -8.709284e-01)^T$	6.025814e+00
8	25	2956	2.646978e-22	$(-1.216684e-01, -8.783316e-01)^T$	6.064577e+00
9	24	2802	1.253660e-22	$(-1.170250e-01, -8.829749e-01)^T$	6.089952e+00
10	23	2681	1.000000e-22	$(-1.139555e-01, -8.860444e-01)^T$	6.107176e+00
