rMult	iter	fCalc	r	x	fx
2	28	3093	2.684355e+09	$(1.155227e+00, 2.155227e+00)^T$	4.072286e+00
3	21	2381	1.046035e+11	$(1.039906e+00, 2.039906e+00)^T$	4.004778e+00
4	19	2229	2.748779e+12	$(1.002909e+00, 2.002909e+00)^T$	4.000025e+00
5	19	2264	1.907349e+14	$(1.000405e+00, 2.000405e+00)^T$	4.000000e+00
6	16	2069	2.821110e+13	$(1.000008e+00, 2.000008e+00)^T$	4.000000e+00
7	17	1802	2.326305e+15	$(-1.173890e+00, -1.738896e-01)^T$	1.817739e+01
8	12	1371	6.871948e+11	$(-1.285930e+00, -2.859298e-01)^T$	1.967643e+01
9	11	1261	3.138106e+11	$(-1.364879e+00, -3.648791e-01)^T$	2.077796e+01
10	11	1221	1.000000e+12	$(-1.425473e+00, -4.254725e-01)^T$	2.164875e+01
