rMult	iter	fCalc	r	x	fx
2	1	180	5.000000e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
3	1	180	3.333333e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
4	1	180	2.500000e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
5	1	180	2.000000e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
6	1	180	1.666667e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
7	1	180	1.428571e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
8	1	180	1.250000e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
9	1	180	1.111111e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
10	1	180	1.000000e+00	$(-1.060879e+00, -1.750834e+00)^T$	1.464581e+01
